"اسم الجدول","اسم العمود","نوع البيانات","يقبل قيمة فارغة؟","القيمة الافتراضية","نوع المفتاح/القيود","مرتبط بجدول","مرتبط بعمود"
"franchise_agents","join_date","date","YES","CURRENT_DATE","",NULL,NULL
"invoice_verifications","invoice_id","integer","NO","nextval('invoice_verifications_invoice_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"invoice_verifications","user_handle","text","YES",NULL,"",NULL,NULL
"invoice_verifications","status","text","YES","'قيد الانتظار ⏳'::text","",NULL,NULL
"loyalty_history","id","integer","NO","nextval('loyalty_history_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"loyalty_history","user_id","bigint","YES",NULL,"",NULL,NULL
"loyalty_history","action_type","text","YES",NULL,"",NULL,NULL
"loyalty_history","points_earned","integer","YES",NULL,"",NULL,NULL
"loyalty_history","log_date","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"loyalty_settings","setting_key","text","NO",NULL,"مفتاح أساسي (PK)",NULL,NULL
"loyalty_settings","setting_value","integer","YES",NULL,"",NULL,NULL
"master","id","integer","NO","nextval('master_input_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"master","store_id","text","YES",NULL,"",NULL,NULL
"master","affiliate_link","text","YES",NULL,"",NULL,NULL
"master","public_coupon","text","YES",NULL,"",NULL,NULL
"master","extra_offer","text","YES",NULL,"",NULL,NULL
"master","store_bio","text","YES",NULL,"",NULL,NULL
"master","priority_score","text","YES","0","",NULL,NULL
"master","discount_value","text","YES",NULL,"",NULL,NULL
"master","store_tags","text","YES",NULL,"",NULL,NULL
"master","my_coupon","text","YES",NULL,"",NULL,NULL
"master","first_time","date","YES","CURRENT_DATE","",NULL,NULL
"master","last_time","date","YES",NULL,"",NULL,NULL
"master","total_link_clicks","integer","YES","0","",NULL,NULL
"master","total_coupon_copies","integer","YES","0","",NULL,NULL
"master","total_search_hits","integer","YES","0","",NULL,NULL
"master","performance_status","text","YES","'معتدل'::text","",NULL,NULL
"master","visit_categorie","integer","YES","0","",NULL,NULL
"master","target_category","text","YES",NULL,"",NULL,NULL
"master","total_clicks","integer","YES","0","",NULL,NULL
"master","is_trending","character varying","YES","'عادي'::character varying","",NULL,NULL
"master","click_count","integer","YES","0","",NULL,NULL
"master","copy_clicks","integer","YES","0","",NULL,NULL
"master","link_clicks","integer","YES","0","",NULL,NULL
"master","name_en","text","YES",NULL,"",NULL,NULL
"master","store_bio_en","text","YES",NULL,"",NULL,NULL
"master","extra_offer_en","text","YES",NULL,"",NULL,NULL
"master","store_tags_en","text","YES",NULL,"",NULL,NULL
"master","logo_url","text","YES",NULL,"",NULL,NULL
"password_reset_tokens","id","bigint","NO","nextval('password_reset_tokens_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"password_reset_tokens","user_id","bigint","YES",NULL,"مفتاح خارجي (FK)","web_users","id"
"password_reset_tokens","code_hash","text","NO",NULL,"",NULL,NULL
"password_reset_tokens","expires_at","timestamp without time zone","NO",NULL,"",NULL,NULL
"password_reset_tokens","used","boolean","YES","false","",NULL,NULL
"password_reset_tokens","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"password_reset_tokens","request_ip","inet","YES",NULL,"",NULL,NULL
"prediction_logs","id","integer","NO","nextval('prediction_logs_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"prediction_logs","search_hour","integer","YES",NULL,"",NULL,NULL
"prediction_logs","search_count","integer","YES","1","",NULL,NULL
"prediction_logs","store_name","text","YES",NULL,"",NULL,NULL
"prediction_logs","log_date","date","YES","CURRENT_DATE","",NULL,NULL
"product_comparisons","id","integer","NO","nextval('product_comparisons_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"product_comparisons","store_id","text","NO",NULL,"",NULL,NULL
"product_comparisons","product_name","text","YES",NULL,"",NULL,NULL
"product_comparisons","price","text","YES",NULL,"",NULL,NULL
"product_comparisons","affiliate_link","text","YES",NULL,"",NULL,NULL
"product_comparisons","public_coupon","text","YES",NULL,"",NULL,NULL
"product_comparisons","discount_value","text","YES",NULL,"",NULL,NULL
"product_comparisons","extra_offer","text","YES",NULL,"",NULL,NULL
"product_comparisons","priority_score","integer","YES","0","",NULL,NULL
"product_comparisons","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"product_comparisons","store_name","text","YES",NULL,"",NULL,NULL
"search_analytics","id","integer","NO","nextval('search_analytics_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"search_analytics","search_query","text","YES",NULL,"",NULL,NULL
"search_analytics","search_count","integer","YES","1","",NULL,NULL
"search_analytics","last_searched","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"search_analytics","name_en","text","YES",NULL,"",NULL,NULL
"seasonal_events","event_id","integer","NO","nextval('seasonal_events_event_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"seasonal_events","event_name","text","NO",NULL,"",NULL,NULL
"seasonal_events","event_date","text","YES",NULL,"",NULL,NULL
"seasonal_events","bot_status","text","YES","'انتظار'::text","",NULL,NULL
"seasonal_events","ai_suggestion","text","YES",NULL,"",NULL,NULL
"seasonal_events","emotional_tip","text","YES",NULL,"",NULL,NULL
"security_blacklist","block_id","integer","NO","nextval('security_blacklist_block_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"security_blacklist","target_value","text","NO",NULL,"",NULL,NULL
"security_blacklist","reason","text","YES",NULL,"",NULL,NULL
"security_blacklist","block_date","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"security_settings","setting_key","text","NO",NULL,"مفتاح أساسي (PK)",NULL,NULL
"security_settings","setting_value","integer","YES",NULL,"",NULL,NULL
"security_threats","threat_id","integer","NO","nextval('security_threats_threat_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"security_threats","threat_type","text","YES",NULL,"",NULL,NULL
"security_threats","source_val","text","YES",NULL,"",NULL,NULL
"security_threats","action_taken","text","YES",NULL,"",NULL,NULL
"security_threats","detection_time","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"sent_coupon_messages","chat_id","bigint","NO",NULL,"مفتاح أساسي (PK)",NULL,NULL
"sent_coupon_messages","message_id","bigint","NO",NULL,"مفتاح أساسي (PK)",NULL,NULL
"sent_coupon_messages","store_id","text","NO",NULL,"",NULL,NULL
"sent_coupon_messages","user_id","bigint","YES",NULL,"",NULL,NULL
"sent_coupon_messages","sent_at","timestamp without time zone","YES","now()","",NULL,NULL
"sent_coupon_messages","name_en","text","YES",NULL,"",NULL,NULL
